id,<病院（保健所別） H27.10.1現在>,hospital_name,開設許可年月日,開設年月日,postal_num,address,開設者コード,開　設　者,管　理　者,services,emergency,phone_number,latitude,longtitude,sickbed_num,general,recuperation,psychosis,tuberculosis,infected,matanity_delivery
61,札幌市,市立札幌病院,平6.7.13,平7.10.11,060-0011,札幌市中央区北11条西13丁目1番1号,6,札幌市,関　利盛,内|精|神内|リウ|小|外|整|形|脳|呼外|小外|皮|泌|産婦|眼|耳|リハ|麻|呼吸器内科|消化器内科|消化器外科|循環器内科|腎臓内科|血液内科|腫瘍内科|乳腺外科|病理診断科|救急科|歯外|心外|糖尿病内分泌内科|新生児内科|緩和ケア内科|感染症内科|腎臓移植外科|放射線診断科|放射線治療科,○,011-726-2211,43.0707969,141.3343443,798,752,,38,,8,○
65,札幌市,社会医療法人　医仁会　中村記念病院,昭55.12.4,昭55.12.8,060-0061,札幌市中央区南1条西14丁目291番地190,19,社会医療法人　医仁会,中村　博彦,内|循環器内科|神内|「糖尿病|代謝内科」|外|消化器外科|消化器内科|整|心外|脳|眼|耳|リハ|放|麻|病理診断科,○,011-231-8555,43.0564626,141.3362561,499,499,,,,,
67,札幌市,札幌医科大学附属病院,平19.4.1,平19.4.1,060-0061,札幌市中央区南1条西16丁目291番地,22,北海道公立大学法人札幌医科大学,山下　敏彦,内|精|循|小|外|整|形|脳|心外|皮|泌|産婦|眼|耳|リハ|放|歯|歯外|麻|神内|矯歯|救|病,○,011-611-2111,43.0552099,141.3334036,938,890,,42,6,,○
71,札幌市,札幌南三条病院,平15.12.24,平16.1.1,060-0063,札幌市中央区南3条西6丁目4番2号,19,医療法人社団北海道恵愛会,関根　球一郎,内|呼外|呼吸器内科|消化器内科|脳|麻|放,,011-233-3711,43.0559797,141.3494105,99,99,,,,,
89,札幌市,医療法人讃生会　宮の森記念病院,平8.12.19,平9.1.1,064-0953,札幌市中央区宮の森 3条7丁目5番25号,19,医療法人社団讃生会,松橋　尚生,内|消化器内科|循環器内科|腎臓内科|外|脳|リハ|皮,,011-641-6641,43.0621966,141.3027087,92,92,,,,,
94,札幌市,北海道大学病院,大10.7.22,大10.11.1,060-0814,札幌市北区北14条西5丁目,2,国立大学法人北海道大学,福田　諭,内|消化器内科|循環器内科|血液内科|腫瘍内科|精|神内|小|小外|整|形|脳|循環器外科|消化器外科|呼吸器外科|皮|泌|産|「乳腺|内分泌内科」|眼|耳|リハ|放|放射線診断科|放射線治療科|歯|矯歯|小歯|歯外|麻|救,○,011-716-1161,43.0777603,141.3458511,946,874,,72,,,○
122,札幌市,医療法人札幌麻生脳神経外科病院,昭63.12.16,昭64.1.1,065-0022,札幌市東区北22条東1丁目1番40号,19,医療法人札幌麻生脳神経外科病院,飛彈　一利,神内|脳|リハ|放,○,011-731-2321,43.088237,141.349864,145,145,,,,,
128,札幌市,医療法人徳洲会　札幌東徳洲会病院,昭61.1.16,昭61.2.1,065-0033,札幌市東区北33条東14丁目3番1号,19,医療法人徳洲会,清水　洋三,内|呼吸器内科|消化器内科|腎臓内科|循環器内科|脳神経内科|小|外|消化器外科|整|脳|心外|皮|形|耳|リハ|眼|麻|歯外|病理診断科|肛門外科|救急科|乳腺外科|放射線診断科|放射線治療科|「血液|腫瘍内科」,○,011-722-1110,43.1035661,141.3658978,325,325,,,,,
133,札幌市,社会医療法人禎心会病院,昭62.8.25,昭62.9.1,007-0844,札幌市東区北44条東8丁目1番6号,19,社会医療法人禎心会,徳田　禎久,循環器内科|整|形|脳|リハ|放|麻|ペインクリニック外科|消化器内科|神経内科,○,011-712-1131,43.1146781,141.3561369,143,143,,,,,
135,札幌市,医療法人社団豊生会　東苗穂病院,平7.4.24,平7.5.9,007-0803,札幌市東区東苗穂3条1丁目2番18号,19,医療法人社団豊生会,星野　豊,内|呼吸器内科|消化器内科|循環器内科|神内|腎臓内科（人工透析）|リハ|歯|老年脳神経外科|心外|放,,011-784-1121,43.088144,141.3995682,161,60,101,,,,
152,札幌市,札幌白石記念病院,平23.8.9,平23.9.21,003-0026,札幌市白石区本通8丁目南1番10号,19,特定医療法人　医翔会,野中　雅,循環器内科|脳|リハ|放|麻,,011-863-5151,43.0432251,141.4165957,103,103,,,,,
157,札幌市,独立行政法人国立病院機構北海道がんセンター,昭20.12.1,昭20.12.1,003-0804,札幌市白石区菊水4条2丁目3-54,1,独立行政法人国立病院機構,近藤　啓史,呼吸器内科|消化器内科|循環器内科|血液内科|消化器外科|呼吸器外科|乳腺外科|腫瘍整形外科|精|皮|泌|婦|眼|頭頸部外科|放射線診断科|放射線治療科|麻|脳|心外|形|緩和ケア内科|病理診断科|臨床検査科|リハ|歯外,○,011-811-9111,43.0586661,141.3748334,520,520,,,,,
167,札幌市,医療法人新さっぽろ脳神経外科病院,平3.12.20,平4.1.1,004-0031,札幌市厚別区上野幌1条2丁目1番10号,19,医療法人新さっぽろ脳神経外科病院,山村　明範,脳|リハ|麻|神内,○,011-891-2500,43.0228033,141.469035,135,135,,,,,
176,札幌市,医療法人社団翔嶺館　新札幌聖陵ホスピタル,平15.4.4,平15.5.1,004-0004,札幌市厚別区厚別東4条2丁目1番30号,19,医療法人社団翔嶺館,武田　聰,内|消化器内科|肝臓内科|外|麻|脳|リハ|人工透析外科,,011-898-2151,43.044815,141.4802801,60,60,,,,,
178,札幌市,医療法人徳洲会　札幌徳洲会病院,昭58.4.15,昭58.5.1,004-0041,札幌市厚別区大谷地東1丁目1番1号,19,医療法人徳洲会,奥山　淳,内|消化器内科|胃腸内科|循環器内科|小|外|整|形|皮|泌|産婦|肛門外科|麻|眼|耳|脳|リハ|放|歯|歯外|病理診断科|アレ|乳腺外科,○,011-851-1110,43.0292661,141.4479226,301,301,,,,,○
190,札幌市,医療法人柏葉脳神経外科病院,昭55.4.25,昭55.5.1,062-0051,札幌市豊平区月寒東1条15丁目7番20号,19,医療法人柏葉脳神経外科病院,金子　貞男,脳|神内|循|リハ|精|麻|放,○,011-851-2333,43.0194182,141.4071019,144,144,,,,,
195,札幌市,ＫＫＲ札幌医療センター,昭27.11.20,昭27.11.27,062-0931,札幌市豊平区平岸1条6丁目3番40号,16,国家公務員共済組合連合会,赤坂　嘉宜,内|呼吸器内科|消化器内科|循環器内科|神内|腫瘍内科|外|消化器外科|呼外|乳腺外科|小児外科|脳|整|精|眼|皮|産婦|麻|耳|泌|放|放射線診断科|リハ|病理診断科|救急科|小|小児科(新生児)|「代謝|内分泌内科」|緩和ケア内科|腫瘍外科|人工透析外科|内分泌外科|心臓外科|血管外科|臨床検査科|心臓血管外科|「脳神経|内分泌外科」,○,011-822-1811,43.0364239,141.3672184,450,450,,,,,○
217,札幌市,社会医療法人医仁会　中村記念南病院,平15.6.9,平15.6.16,005-0802,札幌市南区川沿2条2丁目3番1号,19,社会医療法人　医仁会,岡　亨治,脳|神内|リハ,○,011-573-8555,42.997577,141.3356234,173,173,,,,,
224,札幌市,自衛隊札幌病院,,平27.3.26,005-0008,札幌市南区真駒内１７番地,4,防衛大臣,千先　康二,内|外|脳外|整|精|小|皮|泌|産婦|眼|耳|リハ|放|歯|麻,○,011-831-0161,42.9917339,141.358466,200,170,,30,,,○
233,札幌市,独立行政法人国立病院機構　北海道医療センター,昭5.10　　,,063-0005,札幌市西区山の手5条7丁目1番1号,1,独立行政法人国立病院機構,菊地　誠志,内|心内|精|神内|アレ|リウ|小|小児外科|外|整|呼吸器内科|呼吸器外科|消化器内科|循環器内科|腎臓内科|「糖尿病|脂質代謝内科」|脳|心外|皮|耳|泌|婦|眼|リハ|放|救|麻|形,○,011-611-8111,43.0688532,141.2894123,500,410,,40,50,,
234,札幌市,医療法人札幌山の上病院,平7.4.18,平7.5.1,063-0006,札幌市西区山の手6条9丁目1番1号,19,医療法人札幌山の上病院,蕨　建夫,内|消化器内科|呼吸器内科|循環器内科|神内|整|脳|リハ|リウ|放|老年内科,,011-621-1200,43.069853,141.2867986,288,288,,,,,
242,札幌市,医療法人明日佳 札幌宮の沢脳神経外科病院,平8.12.19,平9.1.1,063-0062,札幌市西区西町南20丁目1番30号,19,医療法人明日佳 札幌宮の沢脳神経外科病院,松村　茂樹,脳|リハ|神内|糖尿病内科|整,○,011-664-7111,43.0862536,141.275679,99,99,,,,,
248,札幌市,医療法人社団静和会　静和記念病院,平6.12.22,平7.1.1,063-0811,札幌市西区琴似1条5丁目1番1号,19,医療法人社団静和会,草野　満夫,内|整|リハ|脳|外|循環器内科|消化器内科|消化器外科|麻|血液腫瘍内科,○,011-611-1111,43.0748729,141.3048161,95,95,,,,,
250,札幌市,医療法人社団　明生会　イムス札幌消化器中央総合病院,昭45.6.11,昭45.7.1,063-0842,札幌市西区八軒2条西1丁目1番1号,19,医療法人社団明生会,丹野　誠志,内|呼吸器内科|消化器内科|消化器外科|循環器内科|糖尿病内科|腎臓内科（人工透析）|泌|整|リハ|麻|放|外|脳,,011-611-1391,43.0829528,141.3100624,183,183,,,,,
252,札幌市,医療法人社団研仁会　北海道脳神経外科記念病院,平24.2.29,平24.4.23,063-0869,札幌市西区八軒9条東5丁目1-20,19,医療法人社団研仁会,小柳　泉,脳|リハ|放|歯|小歯|矯歯|神内,○,011-717-2131,43.0851422,141.3262358,134,134,,,,,
258,札幌市,北海道立子ども総合医療・療育センター,平16.7.13,H19.9.1,006-0041,札幌市手稲区金山1条1丁目240?6,5,北海道,鈴木　信寛,小|小児神経内科|新生児内科|小児内分泌内科|小児血液腫瘍内科|小児循環器内科|小外|小児心臓血管外科|小児脳神経外科|小児形成外科|小児眼科|小児耳鼻咽喉科|小児泌尿器科|小児精神科|リハ（小児）|リハ（整形)|整|小児歯科口腔外科|麻|放|産|病理診断科,,011-691-5696,43.1287196,141.2111592,215,215,,,,,○
261,札幌市,医療法人秀友会　札幌秀友会病院,平4.12.8,平5.1.1,006-0805,札幌市手稲区新発寒5条6丁目2番1号,19,医療法人秀友会,村井　宏,内|循|神内|脳|リハ|麻|心外|精,○,011-685-3333,43.1168085,141.2684024,141,141,,,,,
262,札幌市,手稲渓仁会病院,昭62.11.30,昭62.12.16,006-0811,札幌市手稲区前田1条12丁目1番40号,19,医療法人渓仁会,成田　吉明,内|外|呼外|心外|整|脳|形|精|リウ|小|皮|泌|産|婦|眼|耳|麻|歯|歯外|小歯|呼吸器内科|循環器内科|消化器内科|血液内科|腎臓内科|消化器外科|頭頸部外科|放射線診療科|放射線治療科|病理診断科|救急科|腫瘍内科|リハ|乳腺外科,○,011-681-8111,43.1222769,141.2431129,595,595,,,,,○
272,江別,医療法人渓和会江別病院,平９.３.21,平９.４.１,069-0817,江別市野幌代々木町81番地の6,19,医療法人渓和会江別病院,大森　一吉,内|呼吸器内科|消化器内科|循環器内科|外|整|脳|小外|肛|リハ|放|麻|乳腺外科,○,011-382-1111,43.0930228,141.5194152,200,200,,,,,
273,江別,医療法人社団藤花会江別谷藤病院,平10.８.６,平10.９.１,069-0812,江別市幸町22番地1,19,医療法人社団藤花会,谷藤　方俊,内|外|整|形|脳|皮|麻|リハ,○,011-382-5111,43.1005892,141.535147,122,122,,,,,
280,江別,石狩幸惺会病院,平11.４.１,平11.４.15,061-3217,石狩市花川北7条2丁目22番地,19,医療法人財団幸惺会,伊藤　文生,内|循|整|脳|放|リハ,○,0133-71-2855,43.1703874,141.3203191,35,35,,,,,
284,千歳,市立千歳市民病院,H11.3.16,H14.9.1,066-8550,千歳市北光2丁目1番1号,6,千歳市,川向　裕司,内|消|循|小|外|整|脳|皮|泌|産婦|眼|耳|麻,○,0123-24-3000,42.8437129,141.6392254,190,190,,,,,○
287,千歳,社会医療法人即仁会北広島病院,H27.2.10,H27.4.1,061-1133,北広島市中央6丁目2番地2,19,社会医療法人即仁会,野村  直弘,内|消|循|呼|整|脳,○,011-373-5811,42.9795774,141.5644457,90,50,40,,,,
288,千歳,医療法人社団豊友会千歳豊友会病院,H14.3.22,H15.3.22,066-0034,千歳市富丘1丁目618番地6,19,医療法人社団豊友会,千葉  圭,内|神内|脳|リハ,○,0123-24-4191,42.8354279,141.643898,101,37,64,,,,
294,千歳,医療法人北晨会恵み野病院,H2.7.31,H2.8.1,061-1395,恵庭市恵み野西2丁目3番地5,19,医療法人北晨会,貝嶋　光信,内|呼吸器内科|消化器内科|循環器内科|小|外|整|形|脳|呼外|心外|皮|泌|放|麻|糖尿病内科|リハ,○,0123-36-7555,42.9004348,141.5775871,200,200,,,,,
298,千歳,医療法人浩仁会恵庭第一病院,H18.8.7,H18.9.1,061-1447,恵庭市福住町1丁目6番6,19,医療法人浩仁会,中西  浩二,内|神内|呼吸器内科|消化器内科|循環器外科|小|外|整|脳|泌|肛門外科|人工透析内科|リハ,○,0123-34-1155,42.886878,141.5793429,199,159,40,,,,
306,小樽市,小樽市立病院,H26.12.1,H26.12.1,047-0017,小樽市若松1丁目1番1号,6,小樽市,近藤　吉宏　　　　,内|呼吸器内科|外|整|脳|精|小|皮|泌|産婦|眼|耳|放射線診断科|放射線治療科|麻|形|消化器内科|病理診断科|循環器内科|神内|心外,○,0134-25-1211,43.1855819,141.0076057,388,302,,80,4,2,
312,小樽市,医療法人 北光会 朝里中央病院,H22.9.7,H22.10.1,047-0152,小樽市新光1丁目21番5号,19,医療法人 北光会,山田　修,内|循環器内科|消化器内科|人工透析内科|心外|整|リハ|歯|小歯|小|皮|脳,,0134-54-6543,43.1730347,141.0547828,155,95,60,,,,
314,小樽市,医療法人 ひまわり会 札樽病院,H2.3.13,H2.4.1,047-0261,小樽市銭函3丁目298番地,19,医療法人 ひまわり会 札樽病院,池田 康一郎,内|神内|外|整|脳|リハ|消化器内科|循環器内科|泌,○,0134-62-5851,43.1366954,141.1747283,170,142,28,,,,
320,小樽市,医療法人社団 北匠会 小樽中央病院,H24.5.14,H24.6.1,047-0021,小樽市入船2丁目2番18号,19,医療法人社団 北匠会,宮嵜　直樹,内|循環器内科|外|心外|脳|リハ|放|人工透析内科|整,○,0134-21-2222,43.1866178,140.9999118,89,89,,,,,
325,倶知安,ＪＡ北海道厚生連倶知安厚生病院,S20.4.5,S20.4.5,044-0004,虻田郡倶知安町北4条東1丁目2番地,10,北海道厚生農業協同組合連合会,九津見　圭司,内|精|神内|消|循|小|外|整|皮|泌|産婦|眼|耳|リハ|麻|脳,○,0136-22-1141,42.9047733,140.754831,234,172,,60,,2,○
326,倶知安,社会福祉法人北海道社会事業協会余市病院,H3.8.13,H4.12.12,046-0003,余市郡余市町黒川町19丁目1番地1,9,社会福祉法人北海道社会事業協会,吉田　秀明,内|呼|小|外|整|脳|心外|皮泌|産婦|眼|耳|放|リハ,○,0135-23-3126,43.1885148,140.8134707,172,120,52,,,,
332,岩見沢,岩見沢市立総合病院,S30.4.5,S30.4.7,068-8555,岩見沢市9条西7丁目2番地,6,岩見沢市,中島　保明,内|精神神経|小|外|整|形|脳|皮|泌|産婦|眼|耳|放|麻,○,0126-22-1650,43.1953321,141.7654765,484,365,,115,,4,○
360,滝川,医療法人翔陽会滝川脳神経外科病院,H20.1.1,H20.1.1,073-0044,滝川市西町1丁目2番5号,19,医療法人翔陽会滝川脳神経外科病院,中垣　陽一,脳|リハ,○,0125-22-0250,43.5604499,141.9027373,132,72,60,,,,
362,滝川,砂川市立病院,S24.12.26,S26.11.30,073-0196,砂川市西4条北3丁目1番1号,6,砂川市,小熊　豊,内|循環器内科|神内|外|呼外|心外|整|脳|形|精|小|皮|泌|産婦|眼|耳|リハ|放射線診断科|放射線治療科|病理診断科|救急科|麻|歯,○,0125-54-2131,43.4945763,141.9047371,498,408,,80,6,4,○
369,深川,深川市立病院,昭38.５.１,昭38.５.１,074-0006,深川市6条6番1号,6,深川市,藤澤　真,内|小|外|整|脳|皮|泌|肛|産婦|眼|耳|リハ|放|麻|循|呼|消,○,0164-22-1101,43.7161052,142.0403063,203,199,,,,4,○
375,室蘭,市立室蘭総合病院,H7.12.4,H9.6.1,051-0012,室蘭市山手町3丁目8番1号,6,室蘭市,澁谷　均,内|精|小|呼吸器内科|消化器内科|循環器内科|糖尿病内科|腎臓内科|外|消化器外科|整|形|脳|心外|皮|泌|産婦|眼|耳|リハ|放|麻|呼外|病理診断科　,○,0143-25-3111,42.3138057,140.9762629,549,401,,120,24,4,
379,室蘭,社会医療法人製鉄記念室蘭病院,H4.4.22,H4.5.1,050-0076,室蘭市知利別町1丁目45番地,19,社会医療法人製鉄記念室蘭病院,前田　征洋,内|呼吸器内科|消化器内科|消化器外科|循環器内科|小|外|整|心外|皮|泌|産婦|眼|耳|リハ|放|麻|脳|呼外|病理診断科,○,0143-44-4650,42.3574153,141.0167915,347,347,,,,,○
380,室蘭,日鋼記念病院,S55.9.27,S55.10.1,051-0005,室蘭市新富町1丁目5番13号,19,社会医療法人母恋,柳谷　晶仁,内|呼吸器内科|消化器内科|消化器外科|循環器内科|リウ|小|整|形|外|脳|心外|小外|皮|泌|産婦|眼|耳|リハ|放|歯|小歯|歯外|麻||病理診断科,○,0143-24-1331,42.3153169,140.9838541,479,432,47,,,,○
381,室蘭,医療法人社団医修会大川原脳神経外科病院,S52.12.23,S53.1.1,050-0082,室蘭市寿町1丁目5番2号,19,医療法人社団医修会,前田　高宏,神内|脳|リハ|麻,○,0143-44-1519,42.347583,141.0297438,152,152,,,,,
393,室蘭,社会医療法人慈恵会聖ケ丘病院,H11.7.22,H12.11.1,052-0014,伊達市舟岡町214番地22,19,社会医療法人慈恵会,上原　總一郎,内|循環器内科|消化器内科|漢方内科|外|整|リハ|脳,,0142-21-5300,42.4656797,140.8828501,288,,288,,,,
397,苫小牧,苫小牧市立病院,H16.6.14,H18.10.1,053-8567,苫小牧市清水町1丁目5番20号,6,苫小牧市,松岡　伸一,内|神内|消化器内科|呼吸器内科|循環器内科|小|外|整|皮|泌|産婦|眼|耳|歯|歯外|麻|脳|放射線治療科|リハ|内視鏡外科|病理診断科|新生児科,○,0144-33-3131,42.6520752,141.6033788,382,378,,,,4,○
398,苫小牧,白老町立国民健康保険病院,S41.3.1,S41.9.25,059-0903,白老郡白老町日の出町3丁目1番1号,6,白老町,猪原　達也,内|小|外|放|脳,○,0144-82-2181,42.5574236,141.3675543,58,58,,,,,
401,苫小牧,王子総合病院,H7.12.25,H9.5.1,053-0021,苫小牧市若草町3丁目4番8号,19,医療法人王子総合病院,大岩　均,内|精|神内|呼吸器内科|循環器内科|消化器内科|小|外|整|脳|心外|皮|泌|産婦|眼|耳|放射線治療科|歯|麻|血液腫瘍内科|呼外,○,0144-32-8111,42.6385073,141.6047162,440,440,,,,,○
406,苫小牧,医療法人社団養生館苫小牧日翔病院,H1.10.11,H1.12.1,053-0803,苫小牧市矢代町2丁目18番1号,19,医療法人社団養生館,舘山　美樹,内|消化器内科|循環器内科|外|整|形|脳|泌|リハ|リウ|麻|腫瘍内科,○,0144-72-7000,42.6264109,141.5811154,168,168,,,,,
414,浦河,総合病院浦河赤十字病院,S30.5.31,S31.6.1,057-0007,浦河郡浦河町東町ちのみ1丁目2番1号,7,日本赤十字社,武岡　哲良,内|精|神|小|外|整|皮|泌|産婦|眼|耳|リハ|放|麻|脳|血管外科,○,0146-22-5111,42.159337,142.7879195,246,141,51,50,0,4,○
420,静内,医療法人静仁会静仁会静内病院,平元.4.19,平2.10.1,056-0005,日高郡新ひだか町静内こうせい町1丁目10番27号,19,医療法人静仁会,井齋　偉矢,内|消化器内科|胃腸内科|循環器内科|小|外|整|リハ|放|脳外|漢方内科|泌|人工透析内科,○,0146-42-0701,42.3446283,142.3748761,199,110,89,,,,
422,静内,鎌田病院,昭57.9.27,昭57.11.１,055-0001,沙流郡日高町富川北6丁目3番26号,23,鎌田　幸雄,鎌田　幸雄,内|呼|消|循|小|外|整|脳,,01456-2-0340,42.5229595,142.0357674,45,,45,,,,
424,旭川市,旭川医科大学病院,S51.3.10,S51.11.1,078-8802,旭川市緑が丘東2条1丁目1番1号,2,国立大学法人旭川医科大学,平田　哲,精|小|整|脳|心外|小外|皮|泌|産|婦|眼|耳|放|リハ，歯外|麻，救急，循環器内科，腎臓内科，呼吸器内科，脳神経内科，糖尿病内科，内分泌内科，消化器内科，血液|腫瘍内科，血管外科，呼吸器外科，乳腺外科，消化器外科，頭頸部外科,○,0166-65-2111,43.7298827,142.3843467,602,571,,31,,,○
425,旭川市,独立行政法人国立病院機構旭川医療センター,S20.12.1,S20.12.1,070-0901,旭川市花咲町7丁目4048番地,1,独立行政法人国立病院機構,西村　英夫,内|脳|呼吸器内科|消化器内科|糖尿病|代謝内科|循環器内科|小|外|呼外|消化器外科|乳腺外科|リハ|放|臨床検査科|病理診断科|麻,○,0166-51-3161,43.7988416,142.3815132,310,290,,,20,,
428,旭川市,旭川赤十字病院,T11.9.28,T11.9.28,070-0061,旭川市曙1条1丁目1番1号,7,日本赤十字社,牧野　憲一,内|精|神内|呼吸器内科|消化器内科|消化器外科|循環器内科|糖尿病内分泌内科|腎臓内科|血液|腫瘍内科|救急科|病理診断科|小|外|整|形|脳|心外|泌|産婦|眼|耳|リハ|放|歯外|麻|皮,○,0166-22-8111,43.7696295,142.3483042,554,514,,40,,,○
431,旭川市,大西病院,S35.7.28,S35.8.1,070-0034,旭川市4条通11丁目右3号,19,医療法人回生会,川嶋　栄司,内|消化器外科|消化器内科|循環器内科|外|皮|整|形|脳|リハ|放|歯|歯外,○,0166-26-2171,43.7667665,142.3663329,332,97,235,,,,
434,旭川市,医療法人整形外科進藤病院,S43.3.1,S43.3.19,078-8214,旭川市4条通19丁目右6号,19,医療法人社団整形外科進藤病院,小澤　一広,内|リウ|整|リハ|脳|麻|形,○,0166-31-1221,43.763545,142.3777789,137,92,45,,,,
439,旭川市,豊岡中央病院,S56.1.24,S56.2.1,078-8237,旭川市豊岡7条2丁目1番5号,19,医療法人歓生会,後藤　英司,内|消化器内科|内分泌内科|糖尿病代謝内科|大腸外科|循環器内科，小|外|整|脳|耳|肛門外科|リハ|麻|歯外,,0166-32-8181,43.7653926,142.3925687,159,111,48,,,,
441,旭川市,医療法人元生会森山病院,S60.4.22,S60.5.1,070-0038,旭川市8条通6丁目左10号,19,医療法人社団元生会,森山　領,内|消化器内科|循環器内科|外|整|脳|泌|眼|耳|リハ|放|麻|乳腺外科,○,0166-22-4151,43.7740461,142.3617108,172,172,,,,,
442,旭川市,医療法人元生会森山メモリアル病院,H11.5.6,H12.4.1,070-0832,旭川市旭町2条1丁目31番地,19,医療法人社団元生会,中島　進,内|整|脳|リハ,,0166-55-2000,43.7812092,142.3625659,108,,108,,,,
443,旭川市,旭川脳神経外科病院,H12.10.31,H12.12.15,078-8220,旭川市10条通21丁目2番地の11,19,医療法人稲仁会,田之岡　篤,脳|リハ，循環器内科,○,0166-33-2311,43.7699561,142.3853292,120,42,78,,,,
461,旭川市,医療法人社団杏仁会大雪病院,H13.12.18,H14.1.1,079-8413,旭川市永山3条7丁目1番5号,19,医療法人社団杏仁会,尾崎　信彦,内|胃腸内科|整|脳,○,0166-48-6661,43.7940821,142.4088186,99,59,40,,,,
470,名寄,名寄市立総合病院,平2.1.5,平4.6.13,096-0017,名寄市西7条南8丁目1番地,6,名寄市,和泉　裕一,内|精|神内|呼吸器内科|消化器内科|糖尿病代謝内科|循環器内科|小|外|整|脳|呼外|心外|皮|泌|産婦|眼|耳|放|麻|心内|救急,○,01654-3-3101,44.3485052,142.4513522,359,300,,55,,4,○
475,名寄,名寄東病院,平15.11.25,平15.12.１,096-0006,名寄市東６条南５丁目91番地３,6,名寄市,佐古　和廣,内|脳|リハ,,01654-3-2188,44.3500724,142.4755029,105,,105, ,,,
479,富良野,医療法人社団ふらの西病院,平７.12.25,平８.１.１,076-0038,富良野市桂木町2番77号,19,医療法人社団ふらの西病院,松田　英郎,内|小|外|整|麻|脳|眼|リハ,,0167-23-6600,43.3504637,142.3793307,142,58,84,,,,
486,留萌,留萌市立病院,H10.3.24,H13.8.24,077-0011,留萌市東雲町2丁目16番地,6,留萌市,高橋　文彦,内|小|外|整|皮|泌|呼吸器内科|産婦|眼|耳|麻|脳|神経精神科|形|消化器内科|循環器内科|放|リハ,○,0164-49-1011,43.931398,141.6778788,354,300,50,, ,4,○
